GS,Trial,Center_X,Center_Y,Beach_X,Beach_Y,AngleBeach,Date,Weather,Temp,hour,minutes,Dig,Dist_Actual,Dist_StrtLine,Sinuosity,Time,FinalPosition,HeadingMean,StartHeading,Velocity,Start_X,Start_Y,Start_X.T,Start_Y.T,StartLocation,End_X,End_Y,Latency,Animal,Dist_Diff,TOD,Smoky,Year,Latency2,GS.Trial,FinalPosition.Pan,FinalPosition.L,StartHeading.L
1,10,2228.065424,976.319936,2318.455318,1963.073077,1.47944791369536,2021-07-30,Sunny,70,11,34,Jesse,18.82809729640957,10.38209669254555,0.551415075517236,3.1333333333333333,0.620780173176376,0.432527222344266,1.4033738479303,6.008967222258374,2011.09,1082.1,85.5462213310179,225.720182030337,1.20853011988052,1771.78166,1756.086976,10.866666666666667,1,8.44600060386402,11:34:00,Not Smoky,2021,2.388762789235098,1.10,2.1002280868717396,0.27183388965827593,1.1536001978772372
1,12,1794.184211,1167.581507,1634.233304,161.937382,-1.72852827707207,2021-08-04,Sunny,63,10,49,Muaz,45.50774431090358,16.438315103582642,0.36122016928103484,6.866666666666666,0.387148394344615,0.163741691730304,-1.91712289652533,6.627341404500522,2008.971422,1351.086531,-214.965508112305,183.296126976043,2.4355465518598,2015.776916,218.689718,11.866666666666667,1,29.06942920732094,10:49:00,Not Smoky,2021,2.4765384001174837,1.12,-1.3413798827274563,0.03820211082651426,2.1668965465783963
1,13,2229.66053,975.54451,3169.009413,796.999625,-0.187832427531138,2021-08-04,Sunny,63,11,2,Muaz,11.528864084042986,8.951608268383321,0.7764518865976723,1.9,0.789133195733222,0.809082101718967,-0.814665007100625,6.0678232021278875,2470.956554,1126.167656,208.926095861116,193.031059100284,0.745874649227488,2972.399853,1485.099407,15.6,1,2.577255815659665,11:02:00,Not Smoky,2021,2.749405386784124,1.13,0.6013007682020839,0.44018691221512185,1.0644386571536915
1,NA,1819.372,1170.295,1074.295575,535.463729,-2.43591829114206,2021-08-05,Sunny,64,8,23,Ada,20.70311375787641,14.11156436629442,0.6816155546131673,3.6666666666666665,0.0482921876457905,-0.12306745037352,-0.870823039862503,5.646303752148111,2016.58,1128.08,-122.731251339744,160.031688841869,2.22503759441125,1204.821168,593.211497,19.133333333333333,1,6.591549391581989,08:23:00,Not Smoky,2021,2.9531726591351952,1.NA,-2.3876261034962667,0.30065409587231073,1.120596689915569
1,15,2184.761984,1034.577449,1364.525406,1579.594644,2.55511693190063,2021-08-05,Sunny,66,9,27,Muaz,32.61286100652859,16.798314540608462,0.5150825172083401,3.7,-5.64443663326715,0.354811092205794,-1.16744841791682,8.81428675852124,2370.656621,719.679954,-329.10439234918,159.397450917867,2.69055373533457,1244.353821,985.374715,15.2,1,15.814546465920127,09:27:00,Not Smoky,2021,2.723486009232049,1.15,-3.0893197013665223,0.28980239039433187,1.4172220679698828
1,16,2221.927976,1152.866318,1371.986389,1644.916138,2.6168159380433,2021-08-05,Sunny,72,10,58,Magdalena,8.478897616130787,7.63539032033545,0.900516867406136,1.6333333333333333,-1.97208253339125,-2.05692141138215,-2.26705085043025,5.191161805794359,2324.664328,1285.88215,-22.2681576599053,-166.589611739009,-1.70367936332089,2770.344523,1565.235661,19.533333333333335,1,0.8435072957953373,10:58:00,Not Smoky,2021,2.9738274381659413,1.16,0.6447334046520553,2.321028816909348,2.516824500483316
1,17,2285.469711,1127.37561,3129.252506,967.694013,-0.187033062307901,2021-08-09,Sunny,57,8,28,Jesse,16.171692692635798,13.22895407692802,0.8180315028464625,3.466666666666667,0.411580846216921,0.377612398117572,1.99739172063262,4.664911353644942,2134.23,1124.58,-148.082299084396,-30.8690511113515,-2.93607706679135,3029.058043,1297.210824,11.3,1,2.9427386157077784,08:28:00,Not Smoky,2021,2.4277482359480516,1.17,0.2245477839090199,0.06263456269882006,1.7476180705795556
1,18,1811.524531,1156.825088,2356.65614,309.660227,-0.999019949170803,2021-08-09,Sunny,59,9,28,Ada,22.568599377528937,13.884465660897467,0.6152116677086273,6.233333333333333,-1.74416787186791,-1.95217403495199,-2.63651407333862,3.620630916181113,1904.78,981.77,197.674037795156,-16.304634766134,-0.082296136442922,965.579365,800.754777,20.733333333333334,1,8.68413371663147,09:28:00,Not Smoky,2021,3.033349137125298,1.18,-2.7431878210387164,2.093114155386014,2.886287723391691
1,19,1800.621827,1157.04146,2394.371638,356.039856,-0.932912838089919,2021-08-09,Sunny,63,10,16,Ada,15.912092884641213,10.820596673520454,0.680023473465567,2.7666666666666666,-0.304698423456237,-0.23692555294061,0.266855187240441,5.751358873966704,1825.385867,931.138298,196.227995060173,-114.63014539546,-0.528697092571888,2116.323215,244.840426,12.933333333333334,1,5.091496211120759,10:16:00,Not Smoky,2021,2.562381961956291,1.19,-1.2376112615461563,0.6536447069743385,0.017081537187374707
1,20,1809.288437,1163.505969,2359.056246,317.66216,-0.994446594095454,2021-08-09,Sunny,63,10,58,Magdalena,24.91220464005077,11.985101489735063,0.4810935709185246,3.7666666666666666,0.779828819920034,0.509670073725384,2.36438926795932,6.613859638951532,1978.76,1352.09,-65.7632904951831,244.866774057074,1.8331726404713,2709.269316,967.332823,7.166666666666667,1,12.927103150315707,10:58:00,Not Smoky,2021,1.9740810260220096,1.20,-0.21461777417542033,0.4308825364019331,2.1146156179062547
